frame_number,timestamp,rep_count,state,angle,pose_detected
271,2025-11-02 18:52:18.687,2,up,140.03,True
272,2025-11-02 18:52:18.739,2,up,125.65,True
273,2025-11-02 18:52:18.791,2,up,111.95,True
274,2025-11-02 18:52:18.839,2,up,102.60,True
275,2025-11-02 18:52:18.891,2,up,88.08,True
276,2025-11-02 18:52:18.938,2,up,74.63,True
277,2025-11-02 18:52:18.991,3,down,69.77,True
278,2025-11-02 18:52:19.038,3,down,60.49,True
279,2025-11-02 18:52:19.091,3,down,53.49,True
280,2025-11-02 18:52:19.142,3,down,47.89,True
281,2025-11-02 18:52:19.190,3,down,42.71,True
282,2025-11-02 18:52:19.242,3,down,41.19,True
283,2025-11-02 18:52:19.290,3,down,42.22,True
284,2025-11-02 18:52:19.342,3,down,45.93,True
285,2025-11-02 18:52:19.391,3,down,49.66,True
286,2025-11-02 18:52:19.444,3,down,55.18,True
287,2025-11-02 18:52:19.494,3,down,64.07,True
288,2025-11-02 18:52:19.542,3,down,73.39,True
289,2025-11-02 18:52:19.594,3,down,87.88,True
290,2025-11-02 18:52:19.642,3,down,100.86,True
291,2025-11-02 18:52:19.696,3,down,108.79,True
292,2025-11-02 18:52:19.746,3,down,118.29,True
293,2025-11-02 18:52:19.795,3,down,129.09,True
294,2025-11-02 18:52:19.847,3,down,135.97,True
295,2025-11-02 18:52:19.895,3,down,141.36,True
296,2025-11-02 18:52:19.947,3,down,146.30,True
297,2025-11-02 18:52:19.996,3,down,154.37,True
298,2025-11-02 18:52:20.046,3,down,157.46,True
299,2025-11-02 18:52:20.099,3,down,159.12,True
300,2025-11-02 18:52:20.146,3,up,160.06,True
301,2025-11-02 18:52:20.198,3,up,160.10,True
302,2025-11-02 18:52:20.246,3,up,160.12,True
303,2025-11-02 18:52:20.299,3,up,159.48,True
304,2025-11-02 18:52:20.351,3,up,157.79,True
305,2025-11-02 18:52:20.398,3,up,152.30,True
306,2025-11-02 18:52:20.450,3,up,145.42,True
307,2025-11-02 18:52:20.498,3,up,135.24,True
308,2025-11-02 18:52:20.552,3,up,121.05,True
309,2025-11-02 18:52:20.598,3,up,106.83,True
310,2025-11-02 18:52:20.650,3,up,95.19,True
311,2025-11-02 18:52:20.702,3,up,81.57,True
312,2025-11-02 18:52:20.750,3,up,73.05,True
313,2025-11-02 18:52:20.802,4,down,66.09,True
314,2025-11-02 18:52:20.850,4,down,56.54,True
315,2025-11-02 18:52:20.904,4,down,50.13,True
316,2025-11-02 18:52:20.951,4,down,44.37,True
317,2025-11-02 18:52:21.001,4,down,39.58,True
318,2025-11-02 18:52:21.055,4,down,37.49,True
319,2025-11-02 18:52:21.102,4,down,36.85,True
320,2025-11-02 18:52:21.155,4,down,37.88,True
321,2025-11-02 18:52:21.203,4,down,39.23,True
322,2025-11-02 18:52:21.254,4,down,43.17,True
323,2025-11-02 18:52:21.306,4,down,46.94,True
324,2025-11-02 18:52:21.354,4,down,59.68,True
325,2025-11-02 18:52:21.407,4,down,74.46,True
326,2025-11-02 18:52:21.456,4,down,90.46,True
327,2025-11-02 18:52:21.507,4,down,105.38,True
328,2025-11-02 18:52:21.554,4,down,120.78,True
329,2025-11-02 18:52:21.606,4,down,134.55,True
330,2025-11-02 18:52:21.658,4,down,137.98,True
331,2025-11-02 18:52:21.706,4,down,142.10,True
332,2025-11-02 18:52:21.759,4,down,149.48,True
333,2025-11-02 18:52:21.806,4,down,155.68,True
334,2025-11-02 18:52:21.858,4,down,157.38,True
335,2025-11-02 18:52:21.911,4,down,157.73,True
336,2025-11-02 18:52:21.959,4,down,159.02,True
337,2025-11-02 18:52:22.010,4,down,159.92,True
338,2025-11-02 18:52:22.059,4,down,159.13,True
339,2025-11-02 18:52:22.110,4,down,158.57,True
340,2025-11-02 18:52:22.159,4,down,158.18,True
341,2025-11-02 18:52:22.210,4,down,157.37,True
342,2025-11-02 18:52:22.262,4,down,148.54,True
343,2025-11-02 18:52:22.310,4,down,137.87,True
344,2025-11-02 18:52:22.363,4,down,125.03,True
345,2025-11-02 18:52:22.411,4,down,109.67,True
346,2025-11-02 18:52:22.462,4,down,99.07,True
347,2025-11-02 18:52:22.511,4,down,88.13,True
348,2025-11-02 18:52:22.563,4,down,77.89,True
349,2025-11-02 18:52:22.615,4,down,70.88,True
350,2025-11-02 18:52:22.665,4,down,62.53,True
351,2025-11-02 18:52:22.715,4,down,54.70,True
352,2025-11-02 18:52:22.762,4,down,48.62,True
353,2025-11-02 18:52:22.814,4,down,42.44,True
354,2025-11-02 18:52:22.867,4,down,37.56,True
355,2025-11-02 18:52:22.915,4,down,34.15,True
356,2025-11-02 18:52:22.967,4,down,33.05,True
357,2025-11-02 18:52:23.014,4,down,33.98,True
358,2025-11-02 18:52:23.067,4,down,36.47,True
359,2025-11-02 18:52:23.114,4,down,40.25,True
360,2025-11-02 18:52:23.167,4,down,43.76,True
361,2025-11-02 18:52:23.219,4,down,48.57,True
362,2025-11-02 18:52:23.266,4,down,56.34,True
363,2025-11-02 18:52:23.319,4,down,68.84,True
364,2025-11-02 18:52:23.366,4,down,80.85,True
365,2025-11-02 18:52:23.419,4,down,92.28,True
